X,Y,X,Y,icon_url
-66.309020692289,-17.3508411780125,785985.28500000003,8079628.62100000028,./0.png
-66.3088093570102,-17.354122287521,786002.66500000004,8079264.98900000006,./0.png
-66.3089244093439,-17.3541348634424,785990.41099999996,8079263.76800000016,./0.png
-66.3088550058506,-17.3562103051614,785994.56900000002,8079033.85099999979,./0.png
-66.3110170084295,-17.3563875417603,785764.39300000004,8079017.44799999986,./0.png
-66.3111652440299,-17.3554670742473,785750.05799999996,8079119.59200000018,./0.png
-66.3113462853324,-17.3537337792635,785733.49500000000,8079311.78899999987,./0.png
-66.3116389505925,-17.3517569465604,785705.43900000001,8079531.11899999995,./0.png
-66.3116290978022,-17.3516490832423,785706.65399999998,8079543.04800000042,./0.png
-66.3117426718395,-17.3507265585106,785696.00699999998,8079645.36799999978,./0.png
-66.3090231963197,-17.3507707700321,785985.12800000003,8079636.42100000009,./0.png
-66.310298488854,-17.3508765359833,785849.34900000005,8079626.61000000034,./0.png
-69.9268922454942,-82.1377079633631,485845.24500000000,879685.56999999995,./0.png
-66.3117869938691,-17.3504665017277,785691.69700000004,8079674.23000000045,./0.png
